address,area,city,guest_recommendation,hotel_description,hotel_facilities,latitude,locality,longitude,property_id,property_name,property_type,province,room_count,room_type,site_review_count,site_review_rating,state,uniq_id
"New Adgoan Naka, Near Aurangabad Naka, Mumbai Agra Road, Panchvati, Nashik.",Mumbai Agra Road,Nashik,77,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Banquet Facilities|Doctor on Call|Laundry Service Available|Parking Facilities Available|Local Tour / Travel Desk|Gardens|Internet Access Free|Internet / Fax (Reception area only),20.0109494,Mumbai Agra Road,73.8085416,HTLGBO1000000631,Hotel Palms Residency,Hotel,Nashik,25,Double Bed Ac Room,22,4.1,Maharashtra,9bac4c3fa90a98d9a3cdb83b75938805
"8 Queen's Road, Amritsar",Golden Temple Area,Amritsar,86,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  unmarried couple not allowed in room . every customer have i d card compulsory.pet animal not allowed in hotel. complimentary breakfast time 7:00 am to 10 :00 am,Airport Transfer Available / Surcharge|Ballroom|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Air-Conditioning - Central|Power Backup|Wake-up Call / Service|Conference Facility |Smoking Rooms|Fax Machine|Free Local Calls|Massage Services |Extra Person / Child - Share the same room|Car Rental|Express Laundry|Taxi Services|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Internet / Fax (Reception area only)|RO Water Purification System|Outdoor Parking - Secured|Outdoor Parking - Non Secured|Parking Facility|Restaurant|Room Service,31.6351235,Golden Temple Area,74.8720223,HTLGBO1000028742,HOTEL POPULAR,Hotel,Amritsar,29,Deluxe Room,82,4.4,Punjab,c5e8b808c0c6acc5da079009d3d3c61c
"Patel Road, Pachmarhi, Madhya Pradesh",Main Town,Pachmarhi,53,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly In case of any surcharge and gala dinner applicable during festive period ie. Diwali period and from 15 Dec'14 - 15 Jan'15 to be paid at the hotel directly.,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|24 Hour Front Desk|Power Backup|Conference Facility |Taxi Services|Internet Access Free|Room Service (24 Hours)|STD / ISD|Guide / Sightseeing Service,22.47225189,Main Town,78.43719008,HTLGBO1000009158,Hotel Park View,Hotel,Pachmarhi,19,Deluxe Non A/c Room,13,3.4,Madhya Pradesh,aa9347a778a43341a5b10f3e231fd348
VIP Road to Taj Mahal,Fatehabad Road,Agra,86,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We will not allow guest check in with local ID. Mandatory Gala Dinner charge on Dec 31 @ Rs 1750 plus Tax( 19%) per person, Directly pay at Hotel","Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Beauty Salon - on charge|Business Center |Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Laundry Service Available|Library|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Spa On Site - Chargeable|Local Tour / Travel Desk|Hookah Lounge|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Audio - Visual Equipment|Computer Rental|Wedding Services Facility|Wake-up Call / Service|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Disabled Friendly Rooms|Fax Machine|Kitchen available (home cook food on request)|Electronic / Magnetic Keys|Fire Place Available |Picnic Area|Wheelchair Accessibility - Room|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Oxygen Cylinder (on request)|Self Check - In|Taxi Services|Pool Cafe|Rooftop Garden|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Voicemail|Party hall|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Internet Access|Restaurant|Room Service|Ayurvedic Facilities |Fire Safety",27.1606666,Fatehabad Road,78.0599183,HTLGBO1000005188,Hotel Pushp Villa,Hotel,Agra,50,Executive Room,80,3.7,Uttar Pradesh,0ff67e836bac7a98ca40b143efb37ab5
"16 Vanasthali Marg,Vanasthali Marg, near Bus Stand",Station Area/Sindhi Camp,Jaipur,79,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check In time	12 noon Check out Time	11:00 AM",Lobby|Front Desk,26.9210147,Station Area/Sindhi Camp,75.8011393,HTLGBO1000009506,Hotel Purohit,Hotel,Jaipur,20,Semi Deluxe Room,24,3.1,Rajasthan,63ce90fda391936e8ee12ac5cbdb753b
"L.G.C, 17 1/1, Indira Nagar, Near Maharashtra Kanta, L.B.S. Marg, Kurla (West), Mumbai - 400070",Bandra-Kurla,Mumbai,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check-in after 12:00 PM Check-out before 12:00 PM.The hotel reserves the right of admission. Unmarried couples are not allowed.,Airport Transfer Available / Surcharge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Pets Allowed|Front Desk|Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Wake-up Call / Service|Car Rental|Taxi Services|Internet Access Free|Newspapers In Lobby|Electronic Check-Out|Postal / Parcel Services|Family Room|Voicemail|Air / Rail Booking|Baggage Room|Courier Service|Outdoor Parking - Secured|Parking Facility|Room Service|Ayurvedic Facilities |CCTV|First-Aid Kit at Front Desk|Public Restrooms,19.0559133,Bandra-Kurla,72.8694297,HTLGBO1000086640,Hotel Palace Residency,Hotel,Mumbai,7,Deluxe Room,6,4,Maharashtra,c49fc2dd1dc84be67d42ce80c97888ed
"Rugnath road ,Opposite ioc Petrol Pump,beyt dwarka okha, Gandhi Nagari, Okha",National Highway,Dwarka,80,"The standard check-in time is 01:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We work on our only policy, BEST SERVICES AT THE MOST ECONOMICAL RATES. And we try and prove that at every point of your staying experience with us.",Internet Access - Surcharge|Laundry Service Available|Front Desk|24 Hour Front Desk|Power Backup|Porter / Bellhop|Cell Phone Rental|Open Air Restaurant / Dining |Vegetarian Food / Jain Food Available|City Shuttle Service|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking (Surcharge)|Air / Rail Booking|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service,22.4649185,National Highway,69.0701995,HTLGBO1000029482,Hotel Radhe,Hotel,Dwarka,10,Super Deluxe Room,10,4.4,Gujarat,c72632a11c5f34145b879fcf6dff636f
"Gopal Ballav Road, Sea Beach, Puri, Odisha",Marine Drive,Puri,78,The standard check-in time is 08:00 AM and the standard check-out time is 07:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The primary guest must be at least 18 years of age to check into this hotel and to carry a valid photo address proof without which will be non refundable. Extra Mattress/bed will not be provided in Non AC rooms. In AC rooms it will be provided.,Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Parking Facility,19.79630666,Marine Drive,85.82370026,HTLGBO1000000346,Hotel Pushpa (Berries Group of Hotels),Hotel,Puri,44,Non AC Standard Room,469,3.9,Orissa,7c1d60197b1bbb33363c2123cf2db0f5
"3, Taj Road Sadar Bazar, Agra",Agra Cantt,Agra,86,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Drivers are not allowed,Bar / Lounge |Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Welcome Drinks|Taxi Services|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,27.1414433,Agra Cantt,78.0036621,HTLGBO1000013947,Hotel Pawan,Hotel,Agra,14,Deluxe Non AC,15,4.2,Uttar Pradesh,985de9de2345749d546aa1c4d47e4061
"Hotel R.K. Regency ,41, Amaltas - I, Chuna Bhatti,Kolar Main Road, Bhopal",Kolar Road,Bhopal,62,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried couples Strictly Prohibited,Business Center |Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Air-Conditioning - Central|Power Backup|Internet Access Free|Room Service (24 Hours)|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility,23.20165996,Kolar Road,77.41715397,HTLGBO1000009222,Hotel R. K Regency,Hotel,Bhopal,10,AC Delux Double,8,3.1,Madhya Pradesh,1583e5afb50ac2bc6382b7d75b9551b1
"Hotel Park Roots ,infront of park view hotel, haridwar",Shantikunj,Haridwar,0,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be direct,Business Center |Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Parking Facility|Room Service|Porter Services Available|Public Restrooms|Speciality Restaurant |Suites,29.99213594,Shantikunj,78.18840849,HTLGBO1000088050,Hotel Park Roots,Hotel,Haridwar,32,Deluxe Room,1,1,Uttarakhand,bb2ddefe690cc63a3d032498ce8df583
"1/1091-1, Bharathi Nagar, Kochi - Dhanushkodi Road, Ramanathapuram, Tamil Nadu",Ramnad Highway,Rameshwaram,100,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances. Customer Government approved Photo ID card is must to carry at the time of check in.,Doctor on Call|Front Desk|24 Hour Front Desk|Luggage Storage|Parking Facility|Room Service|First-Aid Kit at Front Desk,9.3605036,Ramnad Highway,78.8547784,HTLGBO1000069968,Hotel Raja Rajeswari Tower (45 Minutes away from Rameshwaram),Hotel,Rameshwaram,3,Deluxe Double bed,1,1,Tamil Nadu,fe45c19a56b54e026b46f5afb2f0aed0
"Near railway station,90 / 62,Geetha Hall Road,Behind Cheran Towers,",City Centre - Main Railway Junction,Coimbatore,79,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Banquet Facilities|Bar / Lounge |Business Center |Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Laundry Service Available|Library|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Gardens|Taxi Services|Food Facility|Internet Access Free|Newspapers In Lobby|Family Room|Party hall|Parking Facility,10.99805316,City Centre - Main Railway Junction,76.97019872,HTLGBO1000021334,Hotel Park Plaza,Hotel,Coimbatore,12,Executive Room,110,3.9,Tamil Nadu,db559cfbd56c1b3c44a086bb8a6af245
"9-2-733/737, Ground Floor, Rezimental Bazar, Station Road, Secunderabad, Telangana 500003",Secunderabad,Hyderabad,60,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly. According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid.",Doctor on Call|Laundry Service Available|Front Desk|Power Backup|Parking Facility|Room Service,17.43705631,Secunderabad,78.50049004,HTLGBO1000035376,Hotel Panchavati Residency,Hotel,Hyderabad,19,Standard Non AC Room,5,3.6,Andhra Pradesh,38c09d14eb3112125fd2767643069b7a
"S.T Bus Station Road, Opp. Jilla Panchayat Office, Near Sur Mandir Cinema,",Station Road,Bhuj,74,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. Unmarried Couples Not Allowed.  2. Please carry Original Valid Photo ID Proof at  the time of check in.,Laundry Service Available|Parking Facilities Available|Front Desk|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Public Restrooms,23.2419997,Station Road,69.6669324,HTLGBO1000052624,Hotel Raj Mahel,Hotel,Bhuj,10,Ac Deluxe Room,47,3.9,Gujarat,687495fe9ef55bb2b7c51a2ed220d67b
Main Market,Main Town,Mahabaleshwar,95,The standard check-in time is 10:00 AM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Room Service (24 Hours)|Parking Facility,17.9296302,Main Town,73.6534542,HTLGBO1000017016,Hotel Prity Sangam,Hotel,Mahabaleshwar,14,COUPLE ROOM NON AC,60,4.4,Maharashtra,531e03652257b344296252e6285cc0e1
"Opp. picture palace,the mall",Picture Palace,Mussoorie,74,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn. 3. Cancellation and prepayment policies vary according to room type.,Doctor on Call|Front Desk,30.45464154,Picture Palace,78.0810034,HTLGBO1000007997,Hotel Pik Nik,Hotel,Mussoorie,21,Standard Room,174,3.1,Uttarakhand,f48668dc4285980d8070503eebcb7e19
Solan,Chail Market/Near,Chail,50,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Partial cancellations are not allowed.,Doctor on Call|Lobby|Parking Facilities Available|24 Hour Front Desk|Air-Conditioning - Central|Power Backup|Newspapers In Lobby|Room Service (24 Hours)|RO Water Purification System,30.9747916,Chail Market/Near,77.197535,HTLGBO1000025082,Hotel Palace,Hotel,Chail,43,Maharaja Suite (2 DBRs),8,4.3,Himachal Pradesh,a33ba94b77cf3073803d25a9f0518112
"Panch Kund Road,Pushkar",Choti Basti,Pushkar,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge gala dinner supplement on Christmas/New Years eve or other festive periods. Which needs to be paid directly at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.,"Swimming Pool|Babysitting/ Child Care (surcharge)|Business Center |Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|Luggage Storage|Power Backup|Gardens|Fitness Equipment|Conference Facility |Safari|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Camel Ride|Open Air Restaurant / Dining | Bike on Rent|Horse Ride ( Chargeable ) |Car Rental|Room Service (24 Hours)|Guide / Sightseeing Service|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Speciality Restaurant |Suites",26.48354681,Choti Basti,74.57095672,HTLGBO1000009418,Hotel Pushkar Heritage,Hotel,Pushkar,54,Deluxe Room,2,3.3,Rajasthan,374852ab4e4adf60684ee4aba7b40afd
Near Jolly grant Airport,Others,Dehradun,82,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn. 3. Cancellation and prepayment policies vary according to room type.,Swimming Pool|Bar / Lounge |Business Center |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Gardens|Transfers Available|Internet Access Free|Room Service (24 Hours)|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility,30.18446399,Others,78.16817744,HTLGBO1000013099,Hotel Padmini Palace,Hotel,Dehradun,12,Deluxe Room,35,4.1,Uttarakhand,ed7c6f177aef02bf21d1f8d11b2fccc6
"Gol Bazaar, Sri Ganganagar land mark (GANDHI CHOWK) NEAR RAILWAY STATION",Sri Ganganagar,Sri Ganganagar,88,The standard check-in time is 09:00 AM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Business Center |Doctor on Call|Laundry Service Available|Lobby|Front Desk|Local Tour / Travel Desk|Power Backup|Internet Access Free|Room Service,29.929136,Sri Ganganagar,73.8731938,HTLGBO1000060644,Hotel Prakash,Hotel,Sri Ganganagar,26,deluxe room,270,4.5,Rajasthan,fc5e20461fa4c63473857f187669fe2b
"204 B, Civil Lines, Station Road, Bareilly, Uttar Pradesh 243001",Civil Lines Area,Bareilly,86,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried Couples are not allowed.,Banquet Facilities|Bar / Lounge |Business Center |Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Wedding Services Facility|Wake-up Call / Service|Conference Facility |Taxi Services|Rooftop Garden| Drivers Rest Room|Internet Access Free|Room Service (24 Hours)|Party hall|Baggage Room|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Pest Control Facility|Porter Services Available|Public Restrooms|Suites,28.3417983,Civil Lines Area,79.4160349,HTLGBO1000053664,Hotel Pancham Continental,Hotel,Bareilly,10,Deluxe Room,95,4,Uttar Pradesh,4a5cd22ec52d72b67e5f268c4391b0ea
"4 and 4A, The Nesara Restaurant Building,  Hesaraghatta Main Road, Chikkasandra,  Bangalore - 560090",Tumkur road,Bangalore,100,The standard check-in time is 11:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 24 hrs check in and checkout,Banquet Facilities|Bar / Lounge |Billiards|Business Center |Doctor on Call|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Non Smoking Hotel|Local Tour / Travel Desk|Major Credit Cards Accepted|Luggage Storage|Doorman|Medical Assistance Available|Power Backup|Gardens|Wedding Services Facility|Catering|Separate Sitting Area|Smoking Rooms|Electronic / Magnetic Keys|Multi - Line Phone|Fire Place Available |Transfers Available|Extra Person / Child - Share the same room|Car Rental|Taxi Services|Board Room|Food Facility| Drivers Rest Room|Internet Access Free|Family Room|Party hall|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Fire Safety|Suites,13.0724645,Tumkur road,77.5033239,HTLGBO1000049296,Hotel Raj Vista - Suites &amp; Convention,Hotel,Bangalore,33,Standard Double Bed Room Non AC,2,5,Karnataka,829f43982b2c679f9f2a97857196799a
"Solapara Road, Opposite Capital Tours, Paltan Bazar, Guwahati - 781008",Paltan Bazar,Guwahati,84,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel May Change complimentary gala dinner for few eves like New Year, Christmas etc.","Banquet Facilities|Bar / Lounge |Business Center |Disabled Friendly Facilities |Doctor on Call|Laundry Service Available|Library|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Welcome Drinks|Power Backup|Audio - Visual Equipment|Wedding Services Facility|Wake-up Call / Service|Suitable For Children|Conference Facility |Disabled Friendly Rooms|Electronic / Magnetic Keys|Free Local Calls|Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Extra Person / Child - Share the same room|Car Rental|Taxi Services|Board Room|Internet Access Free|Newspapers In Lobby| Cook Services|Party hall|Air / Rail Booking|Baggage Room|RO Water Purification System|Parking Facility",26.1789915,Paltan Bazar,91.7535627,HTLGBO1000015284,Hotel Rains Inn,Hotel,Guwahati,15,Standard Room double,115,4.4,Assam,0ae907b549df96a32af5f3904f5b0158
"#5115, Gali Thanedar Wali,Behind Khoshla cafe, Main Bazar, Pahar Ganj",Paharganj,Delhi,62,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Any cancellation received within 1 day prior to arrival date will incur the first night charge. Failure to arrive at your hotel will be treated as a No-Show and no refund.,Airport Transfer Available / Surcharge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Non Smoking Rooms|Front Desk|Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Power Backup|Express Check-In / Check-Out|Multi Lingual Staff|Exhibit Space|Wake-up Call / Service|Suitable For Children|Smoking Rooms|Fax Machine|Kitchen available (home cook food on request)|Electronic / Magnetic Keys|Multi - Line Phone|Smoking Area |Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Extra Person / Child - Share the same room|Car Rental|Express Laundry|Taxi Services|City Shuttle Service|Food Facility|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|RO Water Purification System|Internet Access|Restaurant|Room Service|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Pest Control Facility|Stamps and Mailing Facility,28.64109298,Paharganj,77.21363556,HTLGBO1000007824,Hotel Prince Palace Deluxe,Hotel,Delhi,35,Standard NON AC,40,3.1,Delhi,0d4d1c0a5cdbf08fe3e013ede3871739
"Opp. Chandralok Bldg., Near Mayo Hospital,Central Avenue",Central Avenue,Nagpur,63,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried couples are not allowed  Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Banquet Facilities|Disabled Friendly Facilities |Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Air-Conditioning - Central|Power Backup|Wake-up Call / Service|Porter / Bellhop|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Fax Machine|Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Taxi Services|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|STD / ISD|Airport Transfer Free|Parking Facility",21.15293918,Central Avenue,79.09462006,HTLGBO1000004693,Hotel Rajhans,Hotel,Nagpur,31,Single Non AC Room,46,2.9,Maharashtra,2c0e2c8e1e537378eb3d0b48a744c63c
Solapur Road  Bijapur,Solapur Road,Bijapur,80,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Bar / Lounge |Business Center |Doctor on Call|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Gardens|Room Service (24 Hours)|Parking Facility,16.8493454,Solapur Road,75.7111829,HTLGBO1000028230,Hotel Pleasant Stay,Hotel,Bijapur,26,Non AC Room,41,3.2,Karnataka,dabe88a4992f2eda3b0ae8a7d4cb8f9b
